olcs	3	subtheorems	225	28	145	10511	33
pm2.07	1	subtheorems	190	24	122	3313	31
pm2.45	2	subtheorems	200	26	131	3551	31
pm2.46	2	subtheorems	198	26	130	3517	31
pm2.47	2	subtheorems	205	27	134	6903	32
pm2.48	2	subtheorems	243	33	161	21979	35
pm2.49	2	subtheorems	243	33	161	21979	35
pm2.67-2	2	subtheorems	203	24	127	3387	31
pm2.67	1	subtheorems	204	24	127	3387	32
pm2.25	2	subtheorems	195	24	124	3633	30
biorf	3	subtheorems	214	27	139	10967	31
biortn	3	subtheorems	217	28	142	11079	32
biorfi	5	subtheorems	243	30	158	11249	31
pm2.621	3	subtheorems	139	15	86	559	25
pm2.62	2	subtheorems	141	15	87	577	26
pm2.68	2	subtheorems	201	24	126	3369	30
dfor2	3	subtheorems	235	28	150	4439	31
imor	4	subtheorems	262	37	181	19495	33
imori	3	subtheorems	269	37	184	19803	34
imorri	3	subtheorems	269	37	184	22803	34
exmid	2	subtheorems	191	24	122	3313	30
exmidd	2	subtheorems	193	24	123	3315	31
pm2.1	2	subtheorems	271	37	184	19807	35
pm2.13	2	subtheorems	191	25	123	3415	30
pm4.62	1	subtheorems	263	37	181	19495	34
pm4.66	1	subtheorems	182	23	117	3001	28
pm4.63	2	subtheorems	181	23	117	3001	27
imnan	2	subtheorems	337	46	233	101947	maximu
imnani	3	subtheorems	340	47	238	105255	maximu
iman	4	subtheorems	344	46	237	117331	maximu
annim	2	subtheorems	346	47	240	219277	maximu
pm4.61	2	subtheorems	348	47	241	222277	maximu
pm4.65	1	subtheorems	349	47	241	222277	maximu
pm4.67	1	subtheorems	182	23	117	3001	28
imp	4	subtheorems	119	16	80	671	23
impcom	3	subtheorems	122	16	81	689	24
imp3a	4	subtheorems	163	19	101	857	24
imp31	3	subtheorems	122	17	83	1341	24
imp32	3	subtheorems	166	20	104	1527	25
ex	4	subtheorems	190	25	125	3437	29
expcom	3	subtheorems	193	25	126	3455	30
exp3a	4	subtheorems	217	28	141	3539	30
expdimp	3	subtheorems	224	29	147	4209	31
impancom	4	subtheorems	218	29	145	4173	30
con3and	3	subtheorems	122	17	83	879	24
pm2.01da	3	subtheorems	209	27	136	3619	30
pm2.18da	3	subtheorems	193	26	128	3475	30
pm3.3	2	subtheorems	219	28	141	3543	31
pm3.31	2	subtheorems	165	19	101	861	25
impexp	3	subtheorems	235	31	157	4897	32
pm3.2	2	subtheorems	192	25	125	3441	30
pm3.21	2	subtheorems	194	25	126	3459	31
pm3.22	2	subtheorems	200	26	132	4129	32
ancom	3	subtheorems	203	28	138	8751	33
ancomd	3	subtheorems	210	28	141	9063	34
ancoms	3	subtheorems	200	26	132	4125	31
ancomsd	3	subtheorems	210	28	141	9089	34
pm3.2i	4	subtheorems	196	26	132	3445	31
pm3.43i	2	subtheorems	200	26	130	3451	31
simpl	2	subtheorems	121	16	80	671	24
simpli	3	subtheorems	124	16	82	673	25
simpld	3	subtheorems	124	16	82	677	25
simplbi	3	subtheorems	127	17	85	983	26
simpr	2	subtheorems	123	16	81	677	24
simpri	3	subtheorems	126	16	83	679	25
simprd	3	subtheorems	218	29	146	9739	35
simprbi	3	subtheorems	221	29	147	10045	36
adantr	3	subtheorems	122	16	81	677	24
adantl	3	subtheorems	206	27	136	4801	32
adantld	3	subtheorems	126	16	83	709	25
adantrd	3	subtheorems	124	16	82	703	25
mpan9	4	subtheorems	126	16	83	721	25
syldan	5	subtheorems	211	26	137	4179	31
sylan	4	subtheorems	208	26	135	4175	31
sylanb	4	subtheorems	212	26	136	4481	32
sylanbr	4	subtheorems	212	27	138	7481	32
sylan2	4	subtheorems	224	28	145	8979	33
sylan2b	4	subtheorems	228	28	146	9285	34
sylan2br	4	subtheorems	228	29	148	12285	34
syl2an	5	subtheorems	240	28	150	13153	34
syl2anr	5	subtheorems	245	29	153	17277	35
syl2anb	5	subtheorems	248	28	152	13765	35
syl2anbr	5	subtheorems	248	29	154	19765	35
syland	5	subtheorems	237	31	158	4411	31
sylan2d	5	subtheorems	258	36	177	22587	35
syl2and	5	subtheorems	263	37	182	26997	36
biimpa	3	subtheorems	125	17	83	981	24
biimpar	3	subtheorems	207	27	136	7819	30
biimpac	3	subtheorems	136	17	86	1035	25
biimparc	3	subtheorems	211	27	137	7837	31
ianor	3	subtheorems	372	51	259	132171	maximu
anor	3	subtheorems	375	52	263	237117	maximu
ioran	3	subtheorems	362	48	248	320569	maximu
pm4.52	3	subtheorems	376	53	268	331063	maximu
pm4.53	3	subtheorems	379	53	270	436009	maximu
pm4.54	3	subtheorems	333	46	231	95293	38
pm4.55	3	subtheorems	344	47	240	200239	maximu
pm4.56	2	subtheorems	364	48	249	323569	maximu
oran	2	subtheorems	366	48	250	425515	maximu
pm4.57	2	subtheorems	368	48	251	428515	maximu
pm3.1	2	subtheorems	377	52	264	237423	maximu
pm3.11	2	subtheorems	377	52	264	240423	maximu
pm3.12	2	subtheorems	382	53	269	243731	maximu
pm3.13	2	subtheorems	379	52	265	240555	maximu
pm3.14	2	subtheorems	379	53	267	237525	maximu
iba	3	subtheorems	207	27	138	4657	32
ibar	3	subtheorems	205	28	138	4645	31
biantru	3	subtheorems	210	27	140	4659	33
biantrur	3	subtheorems	208	28	140	4647	32
biantrud	3	subtheorems	210	27	140	4663	33
biantrurd	3	subtheorems	208	28	140	4651	32
jaao	5	subtheorems	237	30	156	6025	33
jaoa	5	subtheorems	163	20	106	1905	26
pm3.44	3	subtheorems	240	30	156	6033	34
jao	2	subtheorems	242	31	159	9469	35
pm1.2	3	subtheorems	131	14	80	498	24
oridm	3	subtheorems	216	27	141	4304	32
pm4.25	2	subtheorems	218	28	144	7304	33
orim12i	5	subtheorems	237	32	160	22309	35
orim1i	3	subtheorems	240	32	160	22313	36
orim2i	3	subtheorems	240	32	160	22313	36
orbi2i	7	subtheorems	247	34	169	48731	37
orbi1i	5	subtheorems	270	37	187	93787	38
orbi12i	5	subtheorems	275	38	192	150247	maximu
pm1.5	5	subtheorems	245	34	166	47927	37
or12	3	subtheorems	248	35	169	96347	38
orass	5	subtheorems	278	40	197	190133	maximu
pm2.31	2	subtheorems	280	40	198	193439	maximu
pm2.32	2	subtheorems	280	40	198	190439	maximu
or32	4	subtheorems	282	42	205	316737	maximu
or4	5	subtheorems	292	44	209	543801	maximu
or42	4	subtheorems	296	44	212	615059	maximu
orordi	4	subtheorems	312	45	224	652620	maximu
orordir	4	subtheorems	307	44	217	607564	maximu
jca	4	subtheorems	206	25	130	3487	31
jcad	4	subtheorems	196	26	132	3461	31
jca31	5	subtheorems	211	26	135	6973	32
jca32	5	subtheorems	211	26	135	6973	32
jcai	5	subtheorems	211	25	132	3491	32
jctil	4	subtheorems	210	25	131	3489	32
jctir	4	subtheorems	210	25	131	3489	32
jctl	3	subtheorems	213	25	131	3493	33
jctr	3	subtheorems	213	25	131	3493	33
jctild	4	subtheorems	200	26	133	3467	32
jctird	4	subtheorems	200	26	133	3467	32
ancl	2	subtheorems	194	25	126	3443	31
